accession	nid	size	phylum	genus	species	strain	trophic	pathogenic
AJ314863	AJ314863.1 GI:14456	277	Actinobacteria	Mycobacterium	avium	N247	h	p
AJ269790	AJ269790.1 GI:66869	699	Proteobacteria	Bartonella	grahamii	N24a	h	p
AJ314865	AJ314865.1 GI:14456	280	Actinobacteria	Mycobacterium	intracellulare	N275	h	p
AJ269791	AJ269791.1 GI:66870	691	Proteobacteria	Bartonella	sp	N29-3	h	u
AF440225	AF440225.1 GI:17027	1287	Proteobacteria	Bartonella	sp	N40	h	u
AJ269787	AJ269787.1 GI:66870	1415	Proteobacteria	Bartonella	sp	N40	h	u
AB060282	AB060282.1 GI:13702	349	Actinobacteria	Nocardia	seriolae	N99001	h	u
AF397694	AF397694.1 GI:18463	632	Cyanobacteria	Prochlorococcus	marinus	NATL1A	a	n
AF397695	AF397695.1 GI:18463	632	Cyanobacteria	Prochlorococcus	marinus	NATL2A	a	n
AF268426	AF268426.1 GI:87455	489	Proteobacteria	uncultured	bacterium	NAZ1	h	n
AF268427	AF268427.1 GI:87455	483	Proteobacteria	uncultured	bacterium	NAZ2	h	n
AF268428	AF268428.1 GI:87455	498	Proteobacteria	uncultured	bacterium	NAZ3	h	n
AF268429	AF268429.1 GI:87455	489	Proteobacteria	uncultured	bacterium	NAZ4	h	n
AF268430	AF268430.1 GI:87455	490	Proteobacteria	uncultured	bacterium	NAZ5	h	n
AF268431	AF268431.1 GI:87455	483	Proteobacteria	uncultured	bacterium	NAZ6	h	n
AF268432	AF268432.1 GI:87455	512	Proteobacteria	uncultured	bacterium	NAZ7	h	n
AF268433	AF268433.1 GI:87455	482	Proteobacteria	uncultured	bacterium	NAZ8	h	n
AB015394	g3551463	357	Cyanobacteria	Microcystis	wesenbergii	NC2	a	u
AJ298754	AJ298754.1 GI:17932	424	Proteobacteria	Nitrosococcus	mobilis	NC2	h	u
AB015395	g3551464	357	Cyanobacteria	Microcystis	wesenbergii	NC3	a	u
AB015396	g3551465	357	Cyanobacteria	Microcystis	wesenbergii	NC4	a	u
AB015397	g3551466	357	Cyanobacteria	Microcystis	wesenbergii	NC5	a	u
L36934	g558135	270	Firmicutes	Streptococcus	intermedius	NCDO 2227	h	p
AF017493	g2738840	438	Actinobacteria	Nocardioides	plantarum	NCIMB 12834	h	u
AF017497	g2738844	387	Actinobacteria	Nocardioides	simplex	NCIMB 12919	h	u
AF017498	g2738845	388	Actinobacteria	Nocardioides	simplex	NCIMB 12919	h	u
AF178998	AF178998.1 GI:66938	534	Actinobacteria	Renibacterium	salmoninarum	NCIMB1114	h	n
AF178999	AF178999.1 GI:66938	534	Actinobacteria	Renibacterium	salmoninarum	NCIMB1116	h	n
AB003410	g2351024	454	Euryarchaeota	Natronobacterium	gregoryi	NCIMB2189	h	u
U45329	g1263039	1095	Proteobacteria	Agrobacterium	vitis	NCPPB3554	h	p
L42535	g840630	158	Firmicutes	Bacillus	mycoides	NCTC 09680	h	p
AF342843	AF342843.1 GI:13447	141	Fusobacteria	Fusobacterium	necrophorum	NCTC 10575	h	u
L36931	g558132	391	Firmicutes	Streptococcus	anginosus	NCTC 10713	h	p
CAMJEJ001	CAMJEJ001	806	Proteobacteria	Campylobacter	jejuni	NCTC 11168	h	p
CAMJEJ002	CAMJEJ002	806	Proteobacteria	Campylobacter	jejuni	NCTC 11168	h	p
CAMJEJ003	CAMJEJ003	806	Proteobacteria	Campylobacter	jejuni	NCTC 11168	h	p
AF342851	AF342851.1 GI:13447	173	Fusobacteria	Fusobacterium	ulcerans	NCTC 12111	h	u
AF342852	AF342852.1 GI:13447	173	Fusobacteria	Fusobacterium	ulcerans	NCTC 12112	h	u
AF489596	AF489596.1 GI:19550	320	Firmicutes	Streptococcus	phocae	NCTC 12719	h	p
AF033072	AF033072.1 GI:26890	554	Proteobacteria	Actinobacillus	lignieresii	NCTC 4985	h	u
L16515	g290644	328	Firmicutes	Enterococcus	faecalis	NCTC 775	h	p
AF410970	AF410970.1 GI:15559	307	Fusobacteria	Fusobacterium	necrophorum	NCTC 10576	h	u
AF410971	AF410971.1 GI:15559	144	Fusobacteria	Fusobacterium	necrophorum	NCTC 10576	h	u
AF074828	g4322232	753	Proteobacteria	Campylobacter	jejuni	NCTC 11168	h	p
AF074837	g4322241	823	Proteobacteria	Campylobacter	coli	NCTC 11366	h	p
AF074838	g4322242	812	Proteobacteria	Campylobacter	coli	NCTC 11366	h	p
AF074829	g4322233	664	Proteobacteria	Campylobacter	jejuni	NCTC 11392	h	p
AF074836	g4322240	778	Proteobacteria	Campylobacter	jejuni	NCTC 11951	h	p
X76257	g433438	363	Actinobacteria	Mycobacterium	smegmatis	NCTC 8159	h	p
AJ314874	AJ314874.1 GI:14456	296	Actinobacteria	Mycobacterium	chelonae	NCTC 946	h	p
AB083115	AB083115.1 GI:20086	216	Firmicutes	Lactobacillus	sp	NGRI 0130	h	n
AB083117	AB083117.1 GI:20086	206	Firmicutes	Lactobacillus	sp	NGRI 0304	h	n
AB083118	AB083118.1 GI:20086	206	Firmicutes	Lactobacillus	sp	NGRI 0305	h	n
AB083121	AB083121.1 GI:20086	201	Firmicutes	Lactobacillus	sp	NGRI 0510	h	n
AJ005558	g3063896	658	Proteobacteria	Nitrosolobus	multiformis	NI13	h	u
AJ298755	AJ298755.1 GI:17932	664	Proteobacteria	Nitrosospira	sp	NI20	h	u
AB015388	g3551457	361	Cyanobacteria	Microcystis	wesenbergii	NIES111	a	u
AB015361	g3551430	361	Cyanobacteria	Microcystis	aeruginosa	NIES44	a	u
L08062	g144904	236	Firmicutes	Clostridium	tyrobutyricum	NIZO51	h	p
U68419	g1943871	224	Chlamydiae	Chlamydia	psittaci	NJ1	h	p
AB015371	g3551440	359	Cyanobacteria	Microcystis	ichthyoblabe	NL1	a	u
AJ298756	AJ298756.1 GI:17932	0	Proteobacteria	Nitrosomonas	ureae	Nm10	h	u
AJ298758	AJ298758.1 GI:17932	531	Proteobacteria	Nitrosomonas	communis	Nm2	h	u
AJ298757	AJ298757.1 GI:17932	566	Proteobacteria	Nitrosomonas	marina	Nm22	h	u
AJ298759	AJ298759.1 GI:17932	549	Proteobacteria	Nitrosomonas	sp	Nm33	h	u
AJ298760	AJ298760.1 GI:17932	596	Proteobacteria	Nitrosomonas	aestuarii	Nm36	h	u
AJ298761	AJ298761.1 GI:17932	548	Proteobacteria	Nitrosomonas	sp	Nm41	h	u
AJ298762	AJ298762.1 GI:17932	497	Proteobacteria	Nitrosomonas	oligotropha	Nm45	h	u
AJ005551	g3063895	461	Proteobacteria	Nitrosomonas	europaea	Nm50	h	u
AJ298763	AJ298763.1 GI:17932	618	Proteobacteria	Nitrosomonas	sp	Nm51	h	u
AJ298764	AJ298764.1 GI:17932	612	Proteobacteria	Nitrosomonas	cryotolerans	Nm55	h	u
AJ298765	AJ298765.1 GI:17932	394	Proteobacteria	Nitrosomonas	eutropha	Nm57	h	u
U36946	g1244532	310	Proteobacteria	Piscirickettsia	salmonis	NOR-92	h	p
D84406	g1304035	254	Spirochaetes	Borrelia	garinii	NP81	h	u
AF017508	g2738855	349	Actinobacteria	Aeromicrobium	erythreum	NRRL B-3381	h	u
AF367161	AF367161.1 GI:14044	331	Cyanobacteria	Nodularia	spumigena	NSOR-12	a	u
AF017507	g2738854	328	Actinobacteria	Nocardioides	sp	NSP 41	h	u
AJ298769	AJ298769.1 GI:17932	675	Proteobacteria	Nitrosospira	sp	Nsp1	h	u
AJ298767	AJ298767.1 GI:17932	674	Proteobacteria	Nitrosospira	sp	Nsp12	h	u
AJ298768	AJ298768.1 GI:17932	654	Proteobacteria	Nitrosospira	sp	Nsp17	h	u
AJ298770	AJ298770.1 GI:17932	650	Proteobacteria	Nitrosospira	sp	Nsp2	h	u
AF367176	AF367176.1 GI:14044	356	Cyanobacteria	Nodularia	spumigena	NSPI-05	a	u
D84405	g1304036	246	Spirochaetes	Borrelia	afzelii	NT28	h	u
AJ298771	AJ298771.1 GI:17932	633	Proteobacteria	Nitrosospira	tenuis	Nv1	h	u
AJ298772	AJ298772.1 GI:17932	637	Proteobacteria	Nitrosospira	sp	Nv6	h	u
AJ298773	AJ298773.1 GI:17932	676	Proteobacteria	Nitrosospira	sp	O13	h	u
AJ298774	AJ298774.1 GI:17932	677	Proteobacteria	Nitrosospira	sp	O4	h	u
U58866	g1518640	481	Actinobacteria	Brevibacterium	linens	OC2	h	u
U59266	g1518649	425	Actinobacteria	Brevibacterium	linens	OC2	h	u
AF394925	AF394925.2 GI:19424	250	Euryarchaeota	Thermococcus	sulfurophilus	OGL-20P	h	n
AB019552	g3869179	357	Crenarchaeota	Aeropyrum	pernix	OH2	h	u
AF368391	AF368391.1 GI:15290	1186	Proteobacteria	Bartonella	quintana	Oklahoma	h	u
AB019793	g3894321	892	Proteobacteria	Liberobacter	asiaticum	OKS7	h	u
AF073213	g4587903	510	Proteobacteria	Xylella	fastidiosa	OLS-2	h	p
AB051015	AB051015.1 GI:17298	407	Firmicutes	Streptococcus	sobrinus	OMZ176	h	p
M55343	g148682	411	Actinobacteria	Frankia	sp	ORS020606	h	u
AF017506	g2738853	392	Actinobacteria	Nocardioides	sp	OS4	h	u
U68446	g1943886	222	Chlamydiae	Chlamydia	psittaci	OSP	h	p
PYRHOR001	PYRHOR001	287	Euryarchaeota	Pyrococcus	horikoshii	OT3	h	u
AF073238	g4587928	509	Proteobacteria	Xylella	fastidiosa	Oxford	h	p
AB003598	g2189968	370	Actinobacteria	Mycobacterium	smegmatis	P16	h	p
AF033086	AF033086.1 GI:26890	407	Proteobacteria	Actinobacillus	pleuropneumoniae	P597	h	p
AF033073	AF033073.1 GI:26890	554	Proteobacteria	Actinobacillus	lignieresii	P670	h	u
AF033077	AF033077.1 GI:26890	546	Proteobacteria	Actinobacillus	lignieresii	P671	h	u
AF033093	g2689025	439	Proteobacteria	Actinobacillus	lignieresii	P671	h	u
AF397696	AF397696.1 GI:18463	632	Cyanobacteria	Prochlorococcus	marinus	PAC1	a	n
U68455	g1943895	224	Chlamydiae	Chlamydia	psittaci	Par1	h	p
AF180968	AF180968.1 GI:62888	512	Cyanobacteria	Nostoc	sp	PCC7120	a	u
AF367168	AF367168.1 GI:14044	351	Cyanobacteria	Nodularia	sp	PCC73104/1	a	u
AF367160	AF367160.1 GI:14044	335	Cyanobacteria	Nodularia	sp	PCC7804	a	u
X00346	g38916	545	Cyanobacteria	Synechococcus	sp	PCC6301	a	n
SYNSP001	SYNSP001	466	Cyanobacteria	Synechocystis	sp	PCC6803	a	n
SYNSP002	SYNSP002	466	Cyanobacteria	Synechocystis	sp	PCC6803	a	n
AF180969	AF180969.1 GI:62888	283	Cyanobacteria	Nostoc	sp	PCC7120	a	u
AF073220	g4587910	509	Proteobacteria	Xylella	fastidiosa	PD95-2	h	p
AF073221	g4587911	509	Proteobacteria	Xylella	fastidiosa	PD95-4	h	p
AB019249	g3821804	360	Firmicutes	Erysipelothrix	rhusiopathiae	Pecs 56	h	u
AF127584	AF127584.1 GI:13270	501	Proteobacteria	Pseudomonas	gingeri	Pf1	h	u
AF127580	AF127580.1 GI:13270	515	Proteobacteria	Pseudomonas	reactans	pf1	h	u
AF073216	g4587906	509	Proteobacteria	Xylella	fastidiosa	PF1	h	p
AF127583	AF127583.1 GI:13270	500	Proteobacteria	Pseudomonas	gingeri	pf2	h	u
D89503	g1752789	312	Firmicutes	Mycoplasma	bovigenitalium	PG11	h	p
AB031585	AB031585.1 GI:58214	377	Firmicutes	Mycoplasma	mycoides	PG3	h	p
X05658	g44813	228	Firmicutes	Mycoplasma	sp	PG50	h	p
X05657	g44815	228	Firmicutes	Mycoplasma	sp	PG50	h	p
AB031589	AB031589.1 GI:58214	377	Firmicutes	Mycoplasma	sp	PG50	h	p
D13259	g216199	383	Firmicutes	Acholeplasma	laidlawii	PG8	h	p
D13260	g216198	176	Firmicutes	Acholeplasma	laidlawii	PG8	h	p
AB031218	AB031218.1 GI:57622	621	Bacteroidetes/Chlorobi	Flavobacterium	columnare	PH97028	h	u
AJ390589	AJ390589.1 GI:98447	528	Proteobacteria	Pseudomonas	stutzeri	PII1	h	u
Y15864	g2707930	250	Firmicutes	Phytoplasma	sp	PLL	h	p
X00083	g44734	238	Euryarchaeota	Methanococcus	vannielii	pMV1	h	u
Y15869	g2707935	227	Firmicutes	Phytoplasma	sp	PoiBI	h	p
Y15860	g2689254	252	Firmicutes	Phytoplasma	sp	PP	h	p
AF073232	g4587922	509	Proteobacteria	Xylella	fastidiosa	PrestonRanch	h	p
AF329203	AF329203.1 GI:13272	231	Proteobacteria	Zymomonas	mobilis	PROIMI A1	h	u
L36932	g558133	295	Firmicutes	Streptococcus	anginosus	Q4039	h	p
L06306	g294379	517	Proteobacteria	Pseudomonas	fluorescens	QP5	h	n
AF073223	g4587913	509	Proteobacteria	Xylella	fastidiosa	R116V3	h	p
AF073224	g4587914	509	Proteobacteria	Xylella	fastidiosa	R118V3-4	h	p
L06304	g294377	517	Proteobacteria	Pseudomonas	fluorescens	R17-FP2	h	n
AJ269786	AJ269786.1 GI:66869	1289	Proteobacteria	Bartonella	doshiae	R18	h	u
U68420	g1943900	238	Chlamydiae	Chlamydia	trachomatis	R22	h	p
U68428	g1943902	238	Chlamydiae	Chlamydia	trachomatis	R24	h	p
U68429	g1943903	238	Chlamydiae	Chlamydia	trachomatis	R27	h	p
AY033321	AY033321.1 GI:14334	779	Proteobacteria	alpha	proteobacterium	R2A57	h	n
L31413	g466514	246	Firmicutes	Streptococcus	pneumoniae	R31	h	p
AB003597	g2189967	359	Actinobacteria	Mycobacterium	smegmatis	R41	h	p
AB026205	AB026205.1 GI:66836	306	Actinobacteria	Streptomyces	scabies	R90-3	h	u
AJ315569	AJ315569.1 GI:14422	275	Actinobacteria	Mycobacterium	bovis	Ravenel	h	p
AB026204	AB026204.1 GI:66836	307	Actinobacteria	Streptomyces	scabies	RB2	h	u
AF114721	g5281195	686	Proteobacteria	Vibrio	cholerae	RC2	h	p
AF114722	g5281196	425	Proteobacteria	Vibrio	cholerae	RC2	h	p
AF114723	g5281198	510	Proteobacteria	Vibrio	cholerae	RC2	h	p
AF114724	g5281199	431	Proteobacteria	Vibrio	cholerae	RC2	h	p
AF114725	g5281201	510	Proteobacteria	Vibrio	cholerae	RC25	h	p
AF114726	g5281202	425	Proteobacteria	Vibrio	cholerae	RC25	h	p
AF114727	g5281203	431	Proteobacteria	Vibrio	cholerae	RC25	h	p
AF114728	g5281205	686	Proteobacteria	Vibrio	cholerae	RC25	h	p
AF114729	g5281206	510	Proteobacteria	Vibrio	cholerae	RC4	h	p
AF114730	g5281207	431	Proteobacteria	Vibrio	cholerae	RC4	h	p
AF114731	g5281209	510	Proteobacteria	Vibrio	cholerae	RC42	h	p
AF114732	g5281210	431	Proteobacteria	Vibrio	cholerae	RC42	h	p
AF114733	g5281211	510	Proteobacteria	Vibrio	cholerae	RC44	h	p
AF114734	g5281212	425	Proteobacteria	Vibrio	cholerae	RC44	h	p
AF114735	g5281214	431	Proteobacteria	Vibrio	cholerae	RC44	h	p
AF114736	g5281215	445	Proteobacteria	Vibrio	cholerae	RC45	h	p
AF114737	g5281216	509	Proteobacteria	Vibrio	cholerae	RC45	h	p
AF114738	g5281217	686	Proteobacteria	Vibrio	cholerae	RC47	h	p
AF114739	g5281218	510	Proteobacteria	Vibrio	cholerae	RC47	h	p
AF114740	g5281219	431	Proteobacteria	Vibrio	cholerae	RC47	h	p
AF114741	g5281220	511	Proteobacteria	Vibrio	cholerae	RC48	h	p
AF114742	g5281221	431	Proteobacteria	Vibrio	cholerae	RC48	h	p
AF114743	g5281222	686	Proteobacteria	Vibrio	cholerae	RC48	h	p
AF114744	g5281223	509	Proteobacteria	Vibrio	mimicus	RC5	h	p
AF114745	g5281224	424	Proteobacteria	Vibrio	mimicus	RC5	h	p
AF114746	g5281225	430	Proteobacteria	Vibrio	mimicus	RC5	h	p
AF114747	g5281226	670	Proteobacteria	Vibrio	mimicus	RC5	h	p
AF114748	g5281227	424	Proteobacteria	Vibrio	mimicus	RC55	h	p
AF114749	g5281228	510	Proteobacteria	Vibrio	mimicus	RC55	h	p
U32697	g3212177	479	Proteobacteria	Haemophilus	influenzae	Rd	h	p
HAEINF001	HAEINF001	725	Proteobacteria	Haemophilus	influenzae	RD KW20	h	p
HAEINF002	HAEINF002	480	Proteobacteria	Haemophilus	influenzae	RD KW20	h	p
HAEINF003	HAEINF003	725	Proteobacteria	Haemophilus	influenzae	RD KW20	h	p
HAEINF004	HAEINF004	725	Proteobacteria	Haemophilus	influenzae	RD KW20	h	p
HAEINF005	HAEINF005	480	Proteobacteria	Haemophilus	influenzae	RD KW20	h	p
HAEINF006	HAEINF006	480	Proteobacteria	Haemophilus	influenzae	RD KW20	h	p
AJ274378	AJ274378.1 GI:63182	315	Proteobacteria	Photobacterium	damselae	RG91	h	u
D89507	g1752793	212	Firmicutes	Mycoplasma	muris	RIII4	h	p
AF315838	AF315838.1 GI:16588	277	Actinobacteria	Mycobacterium	sp	RiVM 16186	h	p
AF315829	AF315829.1 GI:16588	278	Actinobacteria	Mycobacterium	sp	RiVM 9600439	h	p
AF315827	AF315827.1 GI:16588	282	Actinobacteria	Mycobacterium	sp	RiVM 9600915	h	p
AF315835	AF315835.1 GI:16588	280	Actinobacteria	Mycobacterium	sp	RiVM 9601002	h	p
AF315826	AF315826.1 GI:16588	280	Actinobacteria	Mycobacterium	sp	RiVM 9601388	h	p
AF315830	AF315830.1 GI:16588	280	Actinobacteria	Mycobacterium	sp	RiVM 9601800	h	p
AF315833	AF315833.1 GI:16588	280	Actinobacteria	Mycobacterium	sp	RiVM 9601918	h	p
AF315836	AF315836.1 GI:16588	281	Actinobacteria	Mycobacterium	sp	RiVM 9601940	h	p
AF315837	AF315837.1 GI:16588	280	Actinobacteria	Mycobacterium	sp	RiVM 9701604	h	p
AF315834	AF315834.1 GI:16588	280	Actinobacteria	Mycobacterium	sp	RiVM 9701605	h	p
AF315839	AF315839.1 GI:16588	279	Actinobacteria	Mycobacterium	sp	RiVM 9701619	h	p
AF315831	AF315831.1 GI:16588	279	Actinobacteria	Mycobacterium	sp	RiVM 9801560	h	p
AF315828	AF315828.1 GI:16588	279	Actinobacteria	Mycobacterium	sp	RiVM 9801833	h	p
AF315832	AF315832.1 GI:16588	280	Actinobacteria	Mycobacterium	sp	RiVM 9900327	h	p
AF342847	AF342847.1 GI:13447	135	Fusobacteria	Fusobacterium	gonidiaformans	RMA 11653	h	u
AF342848	AF342848.1 GI:13447	135	Fusobacteria	Fusobacterium	gonidiaformans	RMA 11660	h	u
AF342861	AF342861.1 GI:13447	112	Fusobacteria	Leptotrichia	buccalis	RMA 2181	h	u
AF342836	AF342836.1 GI:13447	134	Fusobacteria	Fusobacterium	nucleatum	RMA 6681	h	u
AF342837	AF342837.1 GI:13447	134	Fusobacteria	Fusobacterium	nucleatum	RMA 6840	h	u
AF342833	AF342833.1 GI:13447	138	Fusobacteria	Fusobacterium	nucleatum	RMA 7159	h	u
AF397711	AF397711.1 GI:18463	804	Cyanobacteria	Synechococcus	sp	RS8015	a	n
AF397676	AF397676.1 GI:18462	537	Cyanobacteria	Prochlorococcus	marinus	RS810	a	n
AF093471	AF093471.1 GI:44571	534	Actinobacteria	Renibacterium	salmoninarum	Rs9	h	n
AF397725	AF397725.1 GI:18463	780	Cyanobacteria	Synechococcus	sp	RS9705	a	n
AF397726	AF397726.1 GI:18463	781	Cyanobacteria	Synechococcus	sp	RS9708	a	n
AJ274633	AJ274633.1 GI:64536	232	Firmicutes	Phytoplasma	bud	Rsa3	h	p
AJ295323	AJ295323.1 GI:16605	61	Microsporidia	Microsporidium	sp	RSB1	h	p
AJ295328	AJ295328.1 GI:16605	26	Microsporidia	unidentified	microsporidian	S1	h	p
D89506	g1752792	215	Firmicutes	Mycoplasma	hyosynoviae	S16	h	p
AF093463	AF093463.1 GI:44571	534	Actinobacteria	Renibacterium	salmoninarum	S-182-90	h	n
AJ291595	AJ291595.1 GI:11322	360	Actinobacteria	Mycobacterium	peregrinum	S254	h	p
AF363486	AF363486.1 GI:14582	315	Actinobacteria	Streptomyces	turgidiscabies	S27	h	u
AJ291597	AJ291597.1 GI:11322	368	Actinobacteria	Mycobacterium	phlei	S271	h	p
AJ291592	AJ291592.1 GI:11322	380	Actinobacteria	Mycobacterium	fortuitum	S312	h	p
AJ291581	AJ291581.1 GI:11322	297	Actinobacteria	Mycobacterium	abscessus	S322	h	p
AF363485	AF363485.1 GI:14582	307	Actinobacteria	Streptomyces	scabiei	S33	h	u
AJ291591	AJ291591.1 GI:11322	364	Actinobacteria	Mycobacterium	fortuitum	S336	h	p
AJ291593	AJ291593.1 GI:11322	362	Actinobacteria	Mycobacterium	fortuitum	S358	h	p
U73110	U73110.2 GI:5123455	241	Chlamydiae	Chlamydia	suis	S45	h	p
U68430	g1943904	241	Chlamydiae	Chlamydia	trachomatis	S45	h	p
AF363500	AF363500.1 GI:14583	299	Actinobacteria	Streptomyces	sp	S63	h	u
AF363487	AF363487.1 GI:14582	278	Actinobacteria	Streptomyces	acidiscabies	S71	h	u
AF363501	AF363501.1 GI:14583	272	Actinobacteria	Streptomyces	sp	S78	h	u
AJ390582	AJ390582.1 GI:98446	505	Proteobacteria	Pseudomonas	stutzeri	SADN19	h	u
AF369529	AF369529.1 GI:15290	1305	Proteobacteria	Bartonella	henselae	San Ant 2	h	p
AF073229	g4587919	509	Proteobacteria	Xylella	fastidiosa	SantaCruz	h	p
AF397693	AF397693.1 GI:18463	541	Cyanobacteria	Prochlorococcus	marinus	SB	a	n
U73430	g1657913	185	Actinobacteria	Saccharomonospora	caesia	sb01	h	u
U73432	g1657915	185	Actinobacteria	Saccharomonospora	caesia	sb22	h	u
U73434	g1657941	144	Actinobacteria	Saccharomonospora	viridis	sb31	h	u
U73436	g1657943	144	Actinobacteria	Saccharomonospora	viridis	sb33	h	u
U73438	g1657929	182	Actinobacteria	Saccharomonospora	glauca	sb37	h	u
U73440	g1657917	185	Actinobacteria	Saccharomonospora	caesia	sb58	h	u
AB031587	AB031587.1 GI:58214	377	Firmicutes	Mycoplasma	mycoides	SC	h	p
AF421542	AF421542.1 GI:17298	206	Firmicutes	Phytoplasma	yellows	ScYPIII-Cu	h	p
AJ390583	AJ390583.1 GI:98446	505	Proteobacteria	Pseudomonas	stutzeri	SD55473	h	u
AJ390584	AJ390584.1 GI:98446	505	Proteobacteria	Pseudomonas	stutzeri	SD93936	h	u
L15620	g431354	282	Actinobacteria	Mycobacterium	avium	Sequevar MAC-H	h	p
L15621	g431355	261	Actinobacteria	Mycobacterium	sp	Sequevar Msp-A	h	p
M97696	g304457	366	Firmicutes	Clostridium	botulinum	serotype b	h	p
M97697	g304458	367	Firmicutes	Clostridium	botulinum	serotype e	h	p
M97698	g304459	437	Firmicutes	Clostridium	botulinum	serotype f	h	p
AE001345	AE001345.1 GI:33291	315	Chlamydiae	Chlamydia	trachomatis	Serovar D	h	p
AE001347	AE001347.1 GI:33292	315	Chlamydiae	Chlamydia	trachomatis	Serovar D	h	p
Y15862	g2689256	271	Firmicutes	Phytoplasma	sp	SESP	h	p
U68437	g1943906	241	Chlamydiae	Chlamydia	trachomatis	SFPD	h	p
Y15867	g2707933	246	Firmicutes	Phytoplasma	sp	SGS-A	h	p
AF368392	AF368392.1 GI:15290	1186	Proteobacteria	Bartonella	quintana	SH-PERM	h	u
AF353266	AF353266.1 GI:13785	257	Proteobacteria	Bradyrhizobium	sp	Sj4	h	n
AF197571	AF197571.1 GI:11640	514	Proteobacteria	Alcanivorax	borkumensis	SK2	h	u
AF197901	AF197901	524	Proteobacteria	Alcanivorax	borkumensis	SK2	h	u
AF197903	AF197903	331	Proteobacteria	Alcanivorax	borkumensis	SK2	h	u
AB026200	AB026200.1 GI:66836	306	Actinobacteria	Streptomyces	scabies	SNS-26	h	u
AF236659	AF236659.1 GI:12957	491	Cyanobacteria	Microchaetaceae	sp	SRS70	a	u
AF291417	AF291417.1 GI:15077	280	Firmicutes	Streptococcus	agalactiae	SS1214	h	p
AF397698	AF397698.1 GI:18463	665	Cyanobacteria	Prochlorococcus	marinus	SS2	a	n
AF397699	AF397699.1 GI:18463	665	Cyanobacteria	Prochlorococcus	marinus	SS35	a	n
AF397700	AF397700.1 GI:18463	665	Cyanobacteria	Prochlorococcus	marinus	SS51	a	n
AB071778	AB071778.1 GI:15706	300	Bacteroidetes/Chlorobi	Saprospira	sp	SS90-1	h	u
AB071782	AB071782.1 GI:15706	475	Bacteroidetes/Chlorobi	Saprospira	sp	SS90-1	h	u
AB071783	AB071783.1 GI:15706	443	Bacteroidetes/Chlorobi	Saprospira	sp	SS91-40	h	u
AB071779	AB071779.1 GI:15706	300	Bacteroidetes/Chlorobi	Saprospira	sp	SS91-40	h	u
AB071784	AB071784.1 GI:15706	480	Bacteroidetes/Chlorobi	Saprospira	sp	SS92-11	h	u
AB071780	AB071780.1 GI:15706	180	Bacteroidetes/Chlorobi	Saprospira	sp	SS95-4	h	u
AB071785	AB071785.1 GI:15706	463	Bacteroidetes/Chlorobi	Saprospira	sp	SS95-4	h	u
AJ251907	AJ251907.1 GI:98445	530	Proteobacteria	Pseudomonas	stutzeri	ST27MN3	h	u
AJ225071	g2995286	187	Euryarchaeota	Pyrococcus	abyssi	ST549	h	u
AF073226	g4587916	509	Proteobacteria	Xylella	fastidiosa	StagsLeap	h	p
AF073228	g4587918	509	Proteobacteria	Xylella	fastidiosa	STL	h	p
Y17055	g3077650	180	Firmicutes	Phytoplasma	sp	StLL	h	p
AF073214	g4587904	510	Proteobacteria	Xylella	fastidiosa	Stucky	h	p
AB015359	g3551428	355	Cyanobacteria	Microcystis	sp	T1-4	a	u
AB015360	g3551429	357	Cyanobacteria	Microcystis	sp	T17-1	a	u
AF073217	g4587907	509	Proteobacteria	Xylella	fastidiosa	T1c	h	p
AB015384	g3551453	358	Cyanobacteria	Microcystis	aeruginosa	T20-1	a	u
AB015379	g3551448	363	Cyanobacteria	Microcystis	novacekii	T20-3	a	u
AB003402	g2073137	435	Bacteroidetes/Chlorobi	Prevotella	ruminicola	T31	h	u
AB015368	g3551437	359	Cyanobacteria	Microcystis	ichthyoblabe	TAC125	a	u
AB015369	g3551438	359	Cyanobacteria	Microcystis	ichthyoblabe	TAC136	a	u
AB015370	g3551439	359	Cyanobacteria	Microcystis	ichthyoblabe	TAC138	a	u
AB015365	g3551434	363	Cyanobacteria	Microcystis	aeruginosa	TAC170	a	u
AB015398	g3551467	358	Cyanobacteria	Microcystis	viridis	TAC170	a	u
AB015374	g3551443	360	Cyanobacteria	Microcystis	novacekii	TAC20	a	u
AB015389	g3551458	358	Cyanobacteria	Microcystis	wesenbergii	TAC38	a	u
AB015399	g3551468	358	Cyanobacteria	Microcystis	viridis	TAC44	a	u
AB015400	g3551469	358	Cyanobacteria	Microcystis	viridis	TAC45	a	u
AB015366	g3551435	358	Cyanobacteria	Microcystis	ichthyoblabe	TAC48	a	u
AB015390	g3551459	361	Cyanobacteria	Microcystis	wesenbergii	TAC52	a	u
AB015391	g3551460	361	Cyanobacteria	Microcystis	wesenbergii	TAC57	a	u
AB015375	g3551444	359	Cyanobacteria	Microcystis	novacekii	TAC65	a	u
AB015376	g3551445	359	Cyanobacteria	Microcystis	novacekii	TAC66	a	u
AB015362	g3551431	358	Cyanobacteria	Microcystis	aeruginosa	TAC71	a	u
AB015401	g3551470	358	Cyanobacteria	Microcystis	viridis	TAC78	a	u
AB015363	g3551432	359	Cyanobacteria	Microcystis	aeruginosa	TAC86	a	u
AB015364	g3551433	359	Cyanobacteria	Microcystis	aeruginosa	TAC87	a	u
AB015367	g3551436	363	Cyanobacteria	Microcystis	ichthyoblabe	TAC91	a	u
